Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValue_EUR_Millions
Archie Gray,Tottenham,19.0,"D (CR), DM (C)",71.0,89.0,58.2
James Maddison,Tottenham,28.0,"AM, M (C)",81.2,81.2,58.1
Ibrahima Konaté,Liverpool,25.0,D (C),81.4,85.4,57.2
Bryan Mbeumo,Brentford,25.0,"F (CR), M (R)",81.2,85.9,57.2
Levi Colwill,Chelsea,22.0,D (C),78.1,91.4,56.6
Mathys Tel,Tottenham,20.0,"F (CL), M (L)",67.5,80.9,56.4
Pedro Porro,Tottenham,25.0,D (R),74.6,79.7,55.9
Trent Alexander-Arnold,Liverpool,26.0,D (R),85.3,87.4,55.8
Dean Huijsen,B'mouth,20.0,D (C),65.2,82.3,55.0
Rasmus Winther Højlund,Man Utd,22.0,F (C),77.1,87.8,54.9
Bruno Fernandes,Man Utd,30.0,"AM, M (C)",79.8,79.9,54.8
Roméo Lavia,Chelsea,21.0,"DM, M (C)",67.3,77.6,54.6
Marc Guéhi,C. Palace,24.0,D (CL),79.0,83.7,54.2
Marcus Rashford,Aston Villa,27.0,M (L),79.1,79.2,53.6
Sandro Tonali,Newcastle Utd.,25.0,M (C),78.0,82.3,52.9
Sven Botman,Newcastle Utd.,25.0,D (C),73.2,77.6,52.7
Carlos Baleba,Brighton,21.0,"DM, M (C)",73.7,87.5,52.4
Matthijs de Ligt,Man Utd,25.0,D (CR),75.6,82.9,52.2
Dominic Solanke,Tottenham,27.0,F (C),79.5,80.2,52.1
Christopher Nkunku,Chelsea,27.0,"F (C), M (L)",79.1,81.0,51.7
Noni Madueke,Chelsea,23.0,"F, M (R)",76.1,86.4,51.6
João Gomes,Wolverhampton,24.0,"M, DM (C)",71.4,77.2,51.1
Pape Matar Sarr,Tottenham,22.0,"M, DM (C)",70.5,80.6,50.8
Kaoru Mitoma,Brighton,27.0,"F, M (L)",80.2,80.2,50.6
Bernardo Silva,Man City,30.0,"M (CR), DM (C)",86.7,87.8,50.0
Anthony Gordon,Newcastle Utd.,24.0,F (L),80.7,86.9,49.5
Valentino Livramento,Newcastle Utd.,22.0,D (RL),73.6,84.3,49.3
Riccardo Calafiori,Arsenal,22.0,D (CL),73.1,80.7,49.3
Lisandro Martínez,Man Utd,27.0,D (CL),73.0,74.5,49.2
Adam Wharton,C. Palace,21.0,"DM, M (C)",68.1,81.3,48.9
Evan Ferguson,West Ham United,20.0,F (C),67.3,82.0,48.5
Harvey Elliott,Liverpool,22.0,"M (C), F (R)",75.7,86.7,48.5
Amad Diallo,Man Utd,22.0,"F, M (R)",69.4,76.9,48.5
Nico González,Man City,23.0,"M, DM (C)",71.6,78.1,48.4
Abdukodir Khusanov,Man City,21.0,D (C),66.9,76.9,48.4
Jarrod Bowen,West Ham United,28.0,"M (R), F (C)",73.5,75.3,48.1
Antoine Semenyo,B'mouth,25.0,M (RL),74.1,79.3,47.7
Joelinton,Newcastle Utd.,28.0,"M (C), AM (L)",77.0,77.0,47.5
Elliot Anderson,Nottingham,22.0,"M, DM (C)",79.6,89.8,46.5
Antonee Robinson,Fulham,27.0,D (L),77.9,78.7,46.4
Boubacar Kamara,Aston Villa,25.0,"DM, M (C)",78.9,82.6,46.3
Jacob Ramsey,Aston Villa,23.0,M (L),78.8,85.9,45.8
Gabriel Jesus,Arsenal,28.0,F (C),89.5,89.5,45.6
Anthony Elanga,Nottingham,23.0,M (R),75.0,82.6,45.5
Pau Torres,Aston Villa,28.0,D (C),75.6,77.2,45.3
Rayan Aït Nouri,Wolverhampton,23.0,"D, M (L)",70.5,77.7,45.0
Justin Kluivert,B'mouth,26.0,"M (C), AM (R)",79.3,81.7,44.8
Joshua Zirkzee,Man Utd,23.0,F (C),73.5,80.1,43.7
Jack Grealish,Man City,29.0,M (L),83.0,83.0,43.5
Noussair Mazraoui,Man Utd,27.0,"D (RL), M (R)",76.6,77.4,43.0
Manuel Akanji,Man City,29.0,D (C),79.9,82.7,42.8
Ezri Konsa,Aston Villa,27.0,D (CR),75.9,76.1,42.7
Yankuba Minteh,Brighton,20.0,"F, M (R)",74.0,85.6,42.6
Jan Paul van Hecke,Brighton,24.0,D (C),72.3,78.6,42.4
Matheus Nunes,Man City,26.0,"M (CL), D (R)",71.6,72.7,42.3
Guglielmo Vicario,Tottenham,28.0,GK,72.3,72.3,41.6
Youri Tielemans,Aston Villa,28.0,"M, DM (C)",79.1,79.9,41.5
Harvey Barnes,Newcastle Utd.,27.0,"F, AM (L)",78.2,78.6,41.5
Vitor Reis,Man City,19.0,D (C),58.6,77.4,41.4
Georginio Rutter,Brighton,23.0,"F, M (C)",72.1,79.0,41.3
Emile Smith Rowe,Fulham,24.0,"AM (C), M (CL)",75.7,80.3,40.8
Ian Maatsen,Aston Villa,23.0,D (L),76.1,84.5,40.6
Bilal El Khannouss,Leicester,20.0,"AM, M (C)",64.6,79.6,40.6
Mikel Merino,Arsenal,28.0,"M, F (C)",74.6,74.6,40.5
Marc Cucurella,Chelsea,26.0,D (L),75.7,78.7,39.4
Leon Bailey,Aston Villa,27.0,"M, AM (R)",76.2,77.5,39.2
Mohamed Salah,Liverpool,32.0,"F (CR), M (R)",86.6,86.6,38.5
Nikola Milenković,Nottingham,27.0,D (C),78.2,80.3,38.0
Mykhaylo Mudryk,Chelsea,24.0,M (L),73.6,79.9,37.8
Jadon Sancho,Chelsea,25.0,"M (RL), AM (L)",78.9,85.6,37.7
Diogo Dalot,Man Utd,26.0,"D (R), M (RL)",73.1,77.0,37.4
Ferdi Kadıoğlu,Brighton,25.0,D (L),71.0,75.3,37.4
Reece James,Chelsea,25.0,D (R),71.1,75.1,37.3
Cheick Doucouré,C. Palace,25.0,"DM, M (C)",73.5,76.5,37.2
Pervis Estupiñán,Brighton,27.0,D (L),74.0,76.2,37.1
Liam Delap,Ipswich Town,22.0,"F (C), AM (R)",65.8,75.1,37.0
Danilo,Nottingham,24.0,"DM, M (C)",72.3,78.6,36.9
Max Kilman,West Ham United,27.0,D (C),72.3,72.3,36.7
Edson Álvarez,West Ham United,27.0,"DM, M, D (C)",70.8,71.7,36.5
Nathan Aké,Man City,30.0,D (CL),76.1,76.1,36.4
Jean-Clair Todibo,West Ham United,25.0,D (C),73.4,77.6,36.0
Joe Willock,Newcastle Utd.,25.0,M (C),73.3,77.4,35.8
Mason Mount,Man Utd,26.0,"AM, M (C)",70.2,72.9,35.5
Myles Lewis-Skelly,Arsenal,18.0,"D (L), M (C)",59.7,79.0,34.9
Ibrahim Sangaré,Nottingham,27.0,"DM, M (C)",65.0,65.2,34.6
Lewis Hall,Newcastle Utd.,20.0,D (L),72.1,88.0,34.5
André Onana,Man Utd,29.0,GK,73.5,76.9,34.2
Simon Adingra,Brighton,23.0,"F (L), M (RL)",67.6,75.0,34.0
Vitaliy Mykolenko,Everton,25.0,D (L),75.7,77.8,33.5
Nathan Collins,Brentford,24.0,D (C),74.2,80.2,33.3
Matty Cash,Aston Villa,27.0,D (R),74.9,74.9,32.9
Malo Gusto,Chelsea,21.0,D (R),75.6,88.2,32.8
Tyler Dibling,Southampton,19.0,"AM, M (R)",53.3,81.5,32.7
Lucas Bergvall,Tottenham,19.0,M (C),67.0,83.0,32.6
Jarrad Branthwaite,Everton,22.0,D (C),77.2,85.6,32.2
Leandro Trossard,Arsenal,30.0,F (CL),79.5,79.5,31.8
Jean-Philippe Mateta,C. Palace,27.0,F (C),74.8,74.8,31.7
Rodrigo Bentancur,Tottenham,27.0,"DM, M (C)",74.3,75.0,31.5
Patrick Dorgu,Man Utd,20.0,"D, M (L)",64.8,81.6,31.5
Joachim Andersen,Fulham,28.0,D (C),78.6,78.6,31.4
Yoane Wissa,Brentford,28.0,F (C),76.7,76.7,31.4
Daniel Muñoz,C. Palace,28.0,"D, M (R)",77.5,77.5,30.9
Jørgen Strand Larsen,Wolverhampton,25.0,F (C),72.5,76.7,30.8
Facundo Buonanotte,Leicester,20.0,"AM (C), M (CR)",66.8,84.2,30.7
Heung-min Son,Tottenham,32.0,"F (CL), M (L)",80.9,80.9,30.7
Bart Verbruggen,Brighton,22.0,GK,72.3,84.4,30.7
Wesley Fofana,Chelsea,24.0,D (CR),72.6,77.7,30.3
Alex Iwobi,Fulham,29.0,"F (L), M (RL)",76.3,76.3,30.3
Callum Hudson-Odoi,Nottingham,24.0,M (L),81.4,86.4,30.2
Calvin Bassey,Fulham,25.0,D (CL),73.3,79.3,29.9
Taylor Harwood-Bellis,Southampton,23.0,D (CR),66.9,79.9,29.9
André,Wolverhampton,23.0,"DM, M (C)",71.5,79.3,29.8
Yves Bissouma,Tottenham,28.0,"DM, M (C)",71.4,71.7,29.8
Kevin Schade,Brentford,23.0,"F (CL), M (L)",71.1,76.5,29.7
John Stones,Man City,30.0,D (CR),75.0,76.2,29.7
Brajan Gruda,Brighton,20.0,"F, M (R), AM (C)",62.8,74.8,29.4
David Raya,Arsenal,29.0,GK,86.5,86.5,28.9
Mikkel Damsgaard,Brentford,24.0,"AM, M (C)",73.4,78.0,28.6
Benoît Badiashile,Chelsea,24.0,D (C),70.2,77.6,28.5
Lewis Miley,Newcastle Utd.,19.0,M (C),59.4,78.1,28.5
Dango Ouattara,B'mouth,23.0,"F, M (L), AM (R)",72.9,80.4,28.5
Radu Drăguşin,Tottenham,23.0,D (C),69.6,78.5,28.4
Leif Davis,Ipswich Town,25.0,D (L),67.0,73.9,28.2
Conor Bradley,Liverpool,21.0,D (R),65.5,75.2,27.9
Oscar Bobb,Man City,21.0,"AM (R), M (C)",55.5,65.4,27.9
Sander Berge,Fulham,27.0,"DM, M (C)",72.4,72.7,27.8
Maxence Lacroix,C. Palace,25.0,D (C),76.4,80.0,27.7
Alex Scott,B'mouth,21.0,"M, DM, AM (C)",66.4,77.6,27.6
Axel Disasi,Aston Villa,27.0,D (CR),69.1,69.7,27.5
O. Hutchinson,Ipswich Town,21.0,M (CR),64.9,79.9,27.4
Kevin Danso,Tottenham,26.0,D (C),72.6,74.2,27.2
Keane Lewis-Potter,Brentford,24.0,"F, D, M (L)",71.8,77.4,27.1
Vitaly Janelt,Brentford,26.0,"DM, M (C)",77.0,77.8,27.1
Lesley Ugochukwu,Southampton,21.0,"DM, M (C)",62.1,74.4,27.0
Dwight McNeil,Everton,25.0,"AM (C), M (CL)",70.8,75.4,27.0
Evanilson,B'mouth,25.0,F (C),73.4,77.4,26.9
Aaron Wan-Bissaka,West Ham United,27.0,"D, M (R)",74.4,75.0,26.9
Richarlison,Tottenham,27.0,F (C),72.6,72.7,26.7
Luis Guilherme,West Ham United,19.0,F (R),50.1,65.3,26.6
Sepp van den Berg,Brentford,23.0,D (CR),71.5,79.4,26.4
Jarell Quansah,Liverpool,22.0,D (C),62.6,73.4,26.2
Crysencio Summerville,West Ham United,23.0,"M, AM (L)",65.2,71.3,25.9
Igor Thiago,Brentford,23.0,F (C),63.8,70.1,25.9
Filip Jørgensen,Chelsea,23.0,GK,65.0,73.6,25.9
Iliman Ndiaye,Everton,25.0,"F, M (L), AM (C)",68.5,72.9,25.7
Ismaïla Sarr,C. Palace,27.0,"F (R), AM (L)",69.9,70.1,25.7
Matt O'Riley,Brighton,24.0,M (C),66.1,71.9,25.6
Joe Gomez,Liverpool,27.0,D (CRL),75.8,76.5,25.3
Mateo Kovačić,Man City,31.0,"M, DM (C)",77.7,77.7,25.3
Wilson Odobert,Tottenham,20.0,"F, M (L)",67.9,81.0,25.1
Jacob Greaves,Ipswich Town,24.0,D (C),65.2,73.1,25.1
Igor Júlio,Brighton,27.0,D (CL),72.1,72.9,25.0
Wout Faes,Leicester,27.0,D (C),67.2,70.8,25.0
Michael Kayode,Brentford,20.0,D (R),67.7,80.4,25.0
Jakub Kiwior,Arsenal,25.0,D (CL),69.8,73.7,25.0
Aaron Hickey,Brentford,22.0,D (R),72.4,85.1,24.9
Robert Sánchez,Chelsea,27.0,GK,75.8,75.8,24.9
Kiernan Dewsbury-Hall,Chelsea,26.0,"M, DM (C)",67.8,68.8,24.9
Julio Enciso,Ipswich Town,21.0,"AM (C), M (CL)",69.6,80.5,24.9
Edward Nketiah,C. Palace,25.0,F (C),70.1,72.8,24.8
Tyrick Mitchell,C. Palace,25.0,"M, D (L)",80.7,83.8,24.6
Claudio Echeverri,Man City,19.0,"AM, M (C)",54.9,75.0,24.4
Jesper Lindstrøm,Everton,25.0,"M (R), AM (CR)",70.6,73.7,24.4
Marcus Tavernier,B'mouth,26.0,"M (RL), AM (L)",71.8,74.8,24.4
Tyler Adams,B'mouth,26.0,DM (C),72.9,75.9,24.4
Beto,Everton,27.0,F (C),66.7,66.7,24.4
Orel Mangala,Everton,27.0,"DM, M (C)",71.2,71.5,24.4
Tosin Adarabioyo,Chelsea,27.0,D (C),74.1,74.1,24.3
Virgil van Dijk,Liverpool,33.0,D (C),79.8,80.3,24.3
Alisson,Liverpool,32.0,GK,78.0,78.0,24.1
Andrew Robertson,Liverpool,31.0,D (L),80.2,80.6,24.0
Victor Kristiansen,Leicester,22.0,"D, M (L)",69.6,83.9,23.9
Mikey Moore,Tottenham,17.0,"AM, F (L)",47.9,69.8,23.7
Konstantinos Tsimikas,Liverpool,28.0,D (L),69.4,69.4,23.6
Carlos Soler,West Ham United,28.0,M (C),71.4,71.6,23.4
Neco Williams,Nottingham,24.0,D (RL),71.6,78.5,23.4
Tomáš Souček,West Ham United,30.0,"DM, M (C)",75.6,75.6,23.2
James Garner,Everton,24.0,"DM, M (C)",74.9,80.4,23.2
Takehiro Tomiyasu,Arsenal,26.0,D (RL),72.9,77.1,22.9
Dean Henderson,C. Palace,28.0,GK,78.0,78.0,22.7
Jordan Pickford,Everton,31.0,GK,75.3,75.3,22.6
Mateus Fernandes,Southampton,20.0,M (C),61.5,79.1,22.5
John McGinn,Aston Villa,30.0,M (CRL),77.0,77.0,22.5
J. Philogene,Ipswich Town,23.0,"F (L), M (RL)",61.7,67.3,22.3
Abdul Fatawu Issahaku,Leicester,21.0,"F, M (R)",66.2,79.9,21.9
Kristoffer Ajer,Brentford,27.0,D (CR),71.9,72.1,21.5
Donyell Malen,Aston Villa,26.0,"F, M (R), AM (L)",80.6,83.4,21.4
Yasin Ayari,Brighton,21.0,"M, DM (C)",67.1,79.5,21.4
Chadi Riad,C. Palace,21.0,D (C),63.3,76.9,21.4
Reiss Nelson,Fulham,25.0,"F (R), M (L)",67.0,69.6,21.3
Jean-Ricner Bellegarde,Wolverhampton,26.0,M (C),68.6,69.1,21.3
Sean Longstaff,Newcastle Utd.,27.0,M (C),78.9,80.5,21.3
Federico Chiesa,Liverpool,27.0,F (CR),68.1,68.7,21.2
Caoimhin Kelleher,Liverpool,26.0,GK,59.6,62.6,20.9
Fabio Carvalho,Brentford,22.0,"AM, M, F (C)",70.5,78.5,20.6
Marcos Senesi,B'mouth,27.0,D (C),69.2,70.7,20.4
Ben Chilwell,C. Palace,28.0,"D, M (L)",69.2,69.2,20.4
Wilfred Ndidi,Leicester,28.0,"DM, M (C)",69.3,70.8,20.3
Taiwo Awoniyi,Nottingham,27.0,F (C),66.9,66.9,20.2
Trevoh Chalobah,Chelsea,25.0,D (CR),75.2,78.8,20.1
Kevin De Bruyne,Man City,33.0,"M, AM (C)",84.9,84.9,20.1
Felipe Morato,Nottingham,23.0,D (CL),67.3,74.1,20.0
Antonín Kinský,Tottenham,22.0,GK,63.0,71.9,20.0
Oleksandr Zinchenko,Arsenal,28.0,D (L),79.1,79.2,19.9
Nathan Patterson,Everton,23.0,D (R),59.8,64.3,19.9
James McAtee,Man City,22.0,"AM (C), M (CR)",63.4,71.6,19.8
Mads Hermansen,Leicester,24.0,GK,62.5,70.5,19.8
Djed Spence,Tottenham,24.0,D (RL),72.5,76.5,19.8
Jake O'Brien,Everton,23.0,D (CR),65.4,69.0,19.7
Marco Asensio,Aston Villa,29.0,"F (CR), M (C)",77.6,77.6,19.6
Carlos Alcaraz,Everton,22.0,M (CL),69.9,78.3,19.6
Dara O'Shea,Ipswich Town,26.0,D (CR),64.8,69.8,19.5
Jack Clarke,Ipswich Town,24.0,"F, M (L)",62.8,67.8,19.4
Romain Esse,C. Palace,19.0,"M (R), AM (C)",57.7,76.5,19.4
Lewis Cook,B'mouth,28.0,"M, DM (C), D (R)",72.7,73.6,19.3
Ederson,Man City,31.0,GK,80.2,80.2,19.1
Konstantinos Mavropanos,West Ham United,27.0,D (C),68.8,69.2,19.1
Andreas Pereira,Fulham,29.0,"M, DM, AM (C)",75.7,75.7,19.0
Nicolás Domínguez,Nottingham,26.0,"M, DM (C)",74.3,75.4,18.8
Ola Aina,Nottingham,28.0,D (RL),74.2,74.7,18.8
Aaron Ramsdale,Southampton,26.0,GK,67.3,71.5,18.7
Toti Gomes,Wolverhampton,26.0,D (CL),70.6,72.1,18.6
Armando Broja,Everton,23.0,F (C),64.8,70.9,18.6
Cameron Archer,Southampton,23.0,F (C),66.2,73.8,18.6
Kamaldeen Sulemana,Southampton,23.0,"F, M (L)",65.6,71.7,18.5
Ryan Yates,Nottingham,27.0,"M, DM (C)",72.2,74.0,18.3
Marshall Munetsi,Wolverhampton,28.0,"M, DM (C)",68.3,68.3,18.3
Yehor Yarmoliuk,Brentford,21.0,"AM, M (C)",65.9,75.9,18.0
Emmanuel Agbadou,Wolverhampton,27.0,D (C),68.7,68.7,18.0
Jacob Murphy,Newcastle Utd.,30.0,"F (R), AM (L)",77.2,77.2,17.9
Issa Diop,Fulham,28.0,D (C),70.8,71.5,17.9
Dominic Calvert-Lewin,Everton,28.0,F (C),67.6,68.8,17.8
Jack Harrison,Everton,28.0,"F, M (R), AM (C)",72.0,72.0,17.7
Hee-chan Hwang,Wolverhampton,29.0,F (C),69.0,69.1,17.6
Raheem Sterling,Arsenal,30.0,"F (R), M (L)",77.1,77.1,17.5
Emiliano Martínez,Aston Villa,32.0,GK,74.2,74.2,17.5
Luke Shaw,Man Utd,29.0,D (CL),72.7,72.7,17.5
Jota Silva,Nottingham,25.0,F (CR),63.7,65.7,17.4
Ramón Sosa,Nottingham,25.0,"F, M, AM (L)",62.1,64.7,17.4
Timothy Castagne,Fulham,29.0,D (R),75.9,75.9,17.4
Kalvin Phillips,Ipswich Town,29.0,"DM, M (C)",66.6,66.7,17.2
James Justin,Leicester,27.0,D (RL),67.9,70.6,17.0
Oliver Skipp,Leicester,24.0,"DM, M (C)",70.0,76.8,17.0
Mats Wieffer,Brighton,25.0,"M, DM (C)",65.7,70.1,16.8
Youssef Chermiti,Everton,20.0,F (C),51.4,62.0,16.8
Marc Guiu,Chelsea,19.0,F (C),43.1,62.7,16.7
Caleb Okoli,Leicester,23.0,D (CL),64.3,73.0,16.7
Kyle Walker-Peters,Southampton,28.0,"D, M (R)",65.5,67.6,16.6
Albert Grønbæk,Southampton,23.0,"AM, M (C)",62.1,67.9,16.6
Enes Ünal,B'mouth,27.0,F (C),64.8,64.8,16.4
Gonçalo Guedes,Wolverhampton,28.0,F (CL),71.2,71.2,16.2
Ryan Christie,B'mouth,30.0,DM (C),76.7,76.7,16.2
Yukinari Sugawara,Southampton,24.0,D (R),65.6,72.2,15.7
Chris Richards,C. Palace,25.0,D (CRL),71.1,75.3,15.7
Tyrique George,Chelsea,19.0,F (L),46.2,62.2,15.7
Matheus França,C. Palace,21.0,AM (C),59.7,70.0,15.5
Jens Cajuste,Ipswich Town,25.0,"DM, M (C)",66.1,68.8,15.5
Luis Sinisterra,B'mouth,25.0,"F, M (L)",65.2,67.9,15.4
Boubakary Soumaré,Leicester,26.0,"DM, M (C)",69.0,74.1,15.4
Armel Bella-Kotchap,Southampton,23.0,D (C),64.6,70.5,15.4
Mathis Amougou,Chelsea,19.0,M (C),48.7,65.9,15.3
Thomas Partey,Arsenal,31.0,"DM, M (C), D (R)",77.2,77.2,15.2
Nasser Djiga,Wolverhampton,22.0,D (C),59.2,73.1,14.7
Rico Henry,Brentford,27.0,"D, M (L)",71.7,73.8,14.7
Mathias Jensen,Brentford,29.0,M (C),74.2,74.2,14.7
Daichi Kamada,C. Palace,28.0,"AM, M (C)",71.5,71.5,14.6
Harry Wilson,Fulham,28.0,"F, M (R)",76.0,76.0,14.5
Christian Nørgaard,Brentford,31.0,"DM, M (C)",73.7,73.7,14.4
Julian Araujo,B'mouth,23.0,D (R),64.3,71.3,14.3
Sammie Szmodics,Ipswich Town,29.0,"AM (C), M (L)",61.3,61.3,14.1
Kenny Tete,Fulham,29.0,D (R),70.7,71.6,14.0
Tommy Doyle,Wolverhampton,23.0,M (C),66.7,73.3,14.0
Patson Daka,Leicester,26.0,F (C),66.1,70.3,14.0
Tim Iroegbunam,Everton,21.0,"M, DM (C)",57.6,66.0,13.8
Harry Maguire,Man Utd,32.0,D (C),67.6,68.2,13.7
Bernd Leno,Fulham,33.0,GK,74.0,74.0,13.7
Guido Rodríguez,West Ham United,31.0,"DM, M (C)",71.6,71.6,13.6
Lucas Digne,Aston Villa,31.0,D (L),71.2,71.2,13.6
Jefferson Lerma,C. Palace,30.0,"DM, M (C)",70.8,70.8,13.6
Mark Flekken,Brentford,31.0,GK,72.0,72.0,13.6
Tariq Lamptey,Brighton,24.0,D (RL),66.9,70.1,13.6
Victor Lindelöf,Man Utd,30.0,D (C),67.8,67.8,13.5
Niclas Füllkrug,West Ham United,32.0,F (C),66.0,66.0,13.4
Altay Bayındır,Man Utd,27.0,GK,60.3,62.9,13.2
Aaron Anselmino,Chelsea,20.0,D (C),57.5,69.0,13.2
Julio Soler,B'mouth,20.0,D (L),62.9,75.8,13.2
Pedro Lima,Wolverhampton,18.0,D (R),45.3,64.1,13.1
Carlos Forbs,Wolverhampton,21.0,F (RL),54.9,67.6,13.0
David Brooks,B'mouth,27.0,"F, M (R)",65.9,65.9,13.0
Jan Bednarek,Southampton,29.0,D (C),63.8,64.6,12.9
David Datro Fofana,Chelsea,22.0,F (C),65.9,75.4,12.9
Stephy Mavididi,Leicester,26.0,"F, M (L)",66.8,70.1,12.9
Paul Onuachu,Southampton,30.0,F (C),63.1,63.1,12.7
Ben Johnson,Ipswich Town,25.0,"D, M (R)",66.6,70.6,12.6
Emerson Palmieri,West Ham United,30.0,"D, M (L)",67.0,67.0,12.6
Yerson Mosquera,Wolverhampton,24.0,D (CRL),67.3,76.1,12.4
Odsonne Édouard,Leicester,27.0,F (C),70.0,72.6,12.4
Adam Webster,Brighton,30.0,D (C),71.4,71.4,12.2
Saša Lukić,Fulham,28.0,"M, DM (C)",72.1,72.1,12.1
İlkay Gündoğan,Man City,34.0,"M, DM (C)",81.2,81.2,12.1
Kepa Arrizabalaga,B'mouth,30.0,GK,72.2,75.0,12.0
Alphonse Aréola,West Ham United,32.0,GK,66.6,66.6,11.8
Ryan Sessegnon,Fulham,24.0,"D, M (L)",68.5,71.8,11.8
James Tarkowski,Everton,32.0,D (C),74.9,74.9,11.8
Nick Pope,Newcastle Utd.,33.0,GK,70.1,71.3,11.7
Casemiro,Man Utd,33.0,"DM, M (C)",72.4,72.4,11.6
Harry Winks,Leicester,29.0,"DM, M (C)",68.2,68.4,11.4
Eiran Joe Cashin,Brighton,23.0,D (CL),58.3,66.2,11.3
James Ward-Prowse,West Ham United,30.0,"M, DM (C)",66.9,66.9,11.2
Santiago Bueno,Wolverhampton,26.0,D (CR),68.6,71.2,11.2
Will Hughes,C. Palace,30.0,M (C),72.5,72.5,11.1
Wataru Endo,Liverpool,32.0,"DM, M (C)",68.3,68.3,11.1
Álex Moreno,Nottingham,31.0,D (L),68.5,69.2,11.0
Fabian Schär,Newcastle Utd.,33.0,D (C),70.9,70.9,11.0
